Frase amb a,Frase sense a ,Tipus SN,Prediccions a,Prediccions sense a,Model,Mitjana amb a,Mitjana sense a,Desviació estàndard amb a,Desviació estàndard sense a,Mitjana a tipus SN,Mitjana sense a tipus SN
Els policies busquen a la Carme per detenir-la d'immediat,Els policies busquen la Carme per detenir-la d'immediat,SN específic nom propi,-0.9090471863746643,-0.9360190033912659,projecte-aina/roberta-base-ca-v2,-0.7434225078048056,-0.7828242848740451,0.29780416622289535,0.4080959743674218,-0.8635370184654474,-1.0265834551149358
Els policies busquen a la delinqüent que està en forma per detenir-la d'immediat,Els policies busquen la delinqüent que està en forma per detenir-la d'immediat,SN específic definit,-0.7303599119186401,-0.7884480953216553,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els policies busquen a una delinqüent que està en forma per detenir-la d'immediat,Els policies busquen una delinqüent que està en forma per detenir-la d'immediat,SN específic indefinit,-0.7639816403388977,-0.8130778074264526,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els policies busquen a una delinqüent que estigui en forma per detenir-la d'immediat,Els policies busquen una delinqüent que estigui en forma per detenir-la d'immediat,SN inespecífic indefinit,-0.7700023651123047,-0.7998465299606323,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les amigues busquen a la Bruna per jugar el partit,Les amigues busquen la Bruna per jugar el partit,SN específic nom propi,-0.9399758577346802,-0.9255830645561218,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les amigues busquen a la nena que juga a bàsquet per jugar el partit,Les amigues busquen la nena que juga a bàsquet per jugar el partit,SN específic definit,-0.6378059983253479,-0.5879383087158203,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les amigues busquen a una nena que juga a bàsquet per jugar el partit,Les amigues busquen una nena que juga a bàsquet per jugar el partit,SN específic indefinit,-0.6949959397315979,-0.6955385804176331,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les amigues busquen a una nena que jugui a bàsquet per jugar el partit,Les amigues busquen una nena que jugui a bàsquet per jugar el partit,SN inespecífic indefinit,-0.5441999435424805,-0.4572499990463257,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els propietaris busquen a la Carla per parlar del lloguer,Els propietaris busquen la Carla per parlar del lloguer,SN específic nom propi,-0.9509777426719666,-1.01674222946167,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els propietaris busquen a la inquilina que viu en aquest pis per parlar del lloguer,Els propietaris busquen la inquilina que viu en aquest pis per parlar del lloguer,SN específic definit,-0.627132773399353,-0.6517124772071838,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els propietaris busquen a una inquilina que viu en aquest pis per parlar del lloguer,Els propietaris busquen una inquilina que viu en aquest pis per parlar del lloguer,SN específic indefinit,-0.6253518462181091,-0.637252688407898,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
